IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
60091,01 Jan 2009,2009,00:52:38,0,Fire,Primary Fire,,Dwelling,"Converted Flat/Maisonette - Up to 2 storeys ",Correct incident location,,SE8,0,22000019,E09000023,LEWISHAM,Lewisham,E05000439,Brockley,Brockley,NULL,NULL,537350,176450,NULL,NULL,London,Greenwich,203,Greenwich,NULL,,2,3,3,3,765,1
61091,01 Jan 2009,2009,00:54:32,0,False Alarm,AFA,,Non Residential,"Museum ",Correct incident location,WC2N 5NF,WC2N,100023432708,8400805,E09000033,WESTMINSTER,Westminster,E05000644,St. James's,St. James's,530227,180412,530250,180450,51.5076425267,-0.1249080322,London,Soho,283,Islington,NULL,,1,1,1,1,255,1
62091,01 Jan 2009,2009,00:55:09,0,Fire,Secondary Fire,,Outdoor,"Loose refuse ",In street close to gazetteer location,SE18 6UD,SE18,NULL,NULL,E09000011,GREENWICH,Greenwich,E05000229,Woolwich Common,Woolwich Common,543579,178081,543550,178050,51.4834643648,0.0664083728,London,Plumstead,457,East Greenwich,NULL,,1,1,1,1,255,1
63091,01 Jan 2009,2009,01:01:01,1,False Alarm,AFA,,Non Residential,"Department Store ",Correct incident location,CR9 1SB,CR9,100022917703,20501238,E09000008,CROYDON,Croydon,E05011468,Fairfield,Fairfield,532375,165627,532350,165650,51.3742754462,-0.0994989677,London,Croydon,266,Croydon,NULL,,1,1,1,1,255,2
66091,01 Jan 2009,2009,01:08:27,1,False Alarm,AFA,,Dwelling,House in Multiple Occupation - 3 or more storeys (not known if licensed),Correct incident location,,NW6,0,20400560,E09000007,CAMDEN,Camden,E05000140,Kilburn,Kilburn,NULL,NULL,525350,183950,NULL,NULL,London,West Hampstead,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,1
65091,01 Jan 2009,2009,01:09:38,1,False Alarm,False alarm - Good intent,,Outdoor Structure,"Post box ",Correct incident location,SW16 4RF,SW16,100020659247,20501439,E09000008,CROYDON,Croydon,E05011472,Norbury & Pollards Hill,Norbury & Pollards Hill,531286,168796,531250,168750,51.4030071808,-0.1139645219,London,Norbury,275,Norbury,NULL,,1,1,1,1,255,1
67091,01 Jan 2009,2009,01:11:51,1,Special Service,Special Service,Medical Incident,Dwelling,"Purpose Built Flats/Maisonettes - Up to 3 storeys ",Correct incident location,,TW11,0,22403322,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000522,Hampton Wick,Hampton Wick,NULL,NULL,517550,170350,NULL,NULL,London,Twickenham,646,Kingston,NULL,,2,2,2,2,510,1
68091,01 Jan 2009,2009,01:13:17,1,Special Service,Special Service,Assist other agencies,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,E9,0,20900180,E09000012,HACKNEY,Hackney,E05009379,King's Park,King's Park,NULL,NULL,535750,185350,NULL,NULL,London,Homerton,245,Homerton,NULL,,1,1,1,1,255,1
69091,01 Jan 2009,2009,01:13:38,1,Special Service,Special Service,Effecting entry/exit,Dwelling,"House - single occupancy ",Correct incident location,,N12,0,20019960,E09000003,BARNET,Barnet,E05000059,Totteridge,Totteridge,NULL,NULL,525650,192850,NULL,NULL,London,Finchley,591,Barnet,NULL,,2,3,3,2,510,1
70091,01 Jan 2009,2009,01:14:27,1,Fire,Primary Fire,,Dwelling,"Purpose Built Flats/Maisonettes - Up to 3 storeys ",Correct incident location,,W10,0,20201243,E09000005,BRENT,Brent,E05000098,Queens Park,Queens Park,NULL,NULL,523850,182750,NULL,NULL,London,North Kensington,472,Paddington,689,North Kensington,2,2,11,25,6375,16
88091,01 Jan 2009,2009,01:20:44,1,False Alarm,False alarm - Malicious,,Non Residential,"Casino ",Nearby address - street not listed in gazetteer,W2 2DZ,W2,NULL,NULL,E09000033,WESTMINSTER,Westminster,E05000632,Bryanston and Dorset Square,Bryanston and Dorset Square,527482,181288,527450,181250,51.5161404626,-0.1641230482,London,Paddington,NULL,,NULL,,2,2,2,1,255,2
91091,01 Jan 2009,2009,01:20:57,1,Special Service,Special Service,Lift Release,Dwelling,"Purpose Built Flats/Maisonettes - 10 or more storeys ",Within same building,,SE8,0,22000141,E09000023,LEWISHAM,Lewisham,E05000443,Evelyn,Evelyn,NULL,NULL,536650,178450,NULL,NULL,London,Deptford,280,Deptford,NULL,,1,1,1,1,255,1
89091,01 Jan 2009,2009,01:21:20,1,Special Service,Special Service,Effecting entry/exit,Outdoor Structure,"Kiosk ",Open land/water - nearest gazetteer location,SE1 8YP,SE1,NULL,NULL,E09000022,LAMBETH,Lambeth,E05000416,Bishop's,Bishop's,530632,179965,530650,179950,51.5035320423,-0.1192411179,London,Lambeth,NULL,,NULL,,1,1,1,1,255,1
93091,01 Jan 2009,2009,01:22:16,1,Special Service,Special Service,Effecting entry/exit,Dwelling,"Converted Flat/Maisonette - Up to 2 storeys ",Within same building,,N6,0,21106492,E09000014,HARINGEY,Haringey,E05000272,Highgate,Highgate,NULL,NULL,528850,187850,NULL,NULL,London,Hornsey,343,Hornsey,NULL,,1,1,1,1,255,1
96091,01 Jan 2009,2009,01:26:10,1,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,DA5 3JD,DA5,NULL,NULL,E09000004,BEXLEY,Bexley,E05000081,St. Mary's,St. Mary's,547586,173254,547550,173250,51.4390613438,0.1220602078,London,Bexley,552,Bexley,NULL,,1,1,1,1,255,1
99091,01 Jan 2009,2009,01:36:36,1,False Alarm,AFA,,Non Residential,"Club/night club ",Correct incident location,EC1M 5PT,EC1M,5300093561,21606176,E09000019,ISLINGTON,Islington,E05000370,Clerkenwell,Clerkenwell,531625,181875,531650,181850,51.5204665698,-0.1042295446,London,Shoreditch,189,Clerkenwell,NULL,,1,1,1,1,255,1
